SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,gender_Male,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,0,9,1,0,0,0,0,0,0,1,1,87.50147684653716,806.9132635650609,0.0,1.0,0.0,0.0,0.0,0.0,0.4398032660847849,0.0
0,0,0,71,1,1,0,1,0,0,0,0,1,79.05000305175781,5552.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,0,0,5,0,0,0,0,0,0,1,1,0,45.7,198.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,10,1,1,0,0,1,0,1,1,1,100.6,1060.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,0,66,1,1,0,1,0,0,1,1,1,100.8000030517578,6690.75,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,25,1,1,0,0,0,0,0,1,1,94.66483887241988,2362.904596005041,0.9586374093518479,1.0,0.0,0.0,0.0,0.0,0.041362590648152064,0.0
0,0,1,70,1,1,1,1,0,1,0,0,0,64.95,4551.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,0,8,1,0,1,0,0,0,1,0,1,60.0,487.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,0,3,1,1,0,0,0,0,0,0,1,74.1,228.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,1,64,1,1,0,0,0,0,0,0,1,24.4,1548.65,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,0,0,58,1,1,1,1,1,1,0,0,1,71.1,4299.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,0,0,66,1,1,1,0,0,0,1,1,1,102.4,6471.85,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,1,68,1,1,1,1,0,1,1,1,1,86.5,5882.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,2,1,0,0,0,0,0,0,0,1,80.30727479082539,181.31158076237767,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,0,3,1,0,0,0,0,0,0,0,1,19.600000381469727,55.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1,0,5,1,0,0,1,0,0,0,0,1,80.94339230542118,408.5272612374885,0.5477541638306839,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,0,1,1,1,0,0,0,0,0,0,1,73.5857661135451,73.5857661135451,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,0,61,1,1,1,0,1,0,0,1,1,69.9,4226.7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0,0,1,1,0,0,0,0,0,1,0,1,79.34999975109885,79.34999975109885,0.0,1.0,0.0,0.0,0.0,0.0,0.1631198525644898,0.0
0,0,0,47,1,0,0,0,0,0,0,0,0,20.450000762939453,943.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,1,0,67,1,1,0,1,1,0,0,1,1,93.15,6368.2,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1,1,23,1,0,0,0,0,0,0,0,0,19.600000381469727,426.6499938964844,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1,0,0,62,1,1,0,0,0,0,1,0,0,84.45,4959.15,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0,0,0,2,1,0,0,0,0,0,0,0,0,80.78165051921967,184.18787061904482,0.15975721034632795,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,11,1,1,0,0,0,0,1,1,1,100.70705359433985,1129.9110484068747,0.053682802291551535,1.0,0.0,0.0,0.0,0.0,0.9463171977084485,0.053682802291551535
0,1,0,68,1,1,1,1,1,1,1,1,1,90.8,6302.85,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0,0,1,19,1,0,0,0,0,0,0,0,0,20.5,398.55,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0,0,0,51,0,0,1,0,0,1,0,1,1,44.45000076293945,2181.550048828125,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,0,12,0,0,1,0,1,1,0,1,0,49.85,552.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0,0,40,1,0,0,0,1,0,0,0,1,50.25,2023.550048828125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0,0,2,1,0,1,0,0,0,0,0,1,48.08770077400305,92.1821373403015,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,1,28,1,0,0,0,0,0,1,1,1,90.0999984741211,2598.949951171875,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,0,29,1,1,0,0,0,0,0,0,1,74.2,1993.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,0,4,1,0,0,1,1,0,1,1,1,99.8000030517578,442.8500061035156,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,0,9,1,1,0,0,0,0,1,1,0,95.21206116542783,930.3731542066048,0.9961093053050428,1.0,0.0,0.0,0.0,0.0038906946949571752,0.9961093053050428,0.0
0,0,0,72,1,1,1,1,1,1,1,1,0,115.0500030517578,8405.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0,0,0,4,1,0,0,0,0,0,0,0,1,73.18925113925332,266.1791083171447,0.723631123225685,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,1,49,0,0,1,0,0,0,0,1,1,39.20000076293945,1838.1500244140625,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,3,1,0,0,0,1,0,0,0,0,81.30993284550486,218.15945038180988,0.0,1.0,0.0,0.0,0.0,0.8207504634987015,0.1792495365012985,0.0
0,0,0,49,1,1,0,0,0,0,0,0,0,83.50712684854561,4252.092040570465,1.0,1.0,0.0,0.0,0.0,0.22063847810097637,0.7793615218990236,0.0
0,0,0,1,1,0,0,0,0,0,0,0,1,20.209565214664774,20.209565214664774,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,0,0,28,1,1,0,0,0,0,0,1,0,96.05384086227605,2658.0535591591265,1.0,1.0,0.0,0.0,0.0,0.0,0.4792328818872411,0.5207671181127589
0,0,0,4,1,0,0,0,0,0,1,1,1,98.83135483667343,445.6119558877368,0.2617964909932817,1.0,0.0,0.0,0.0,0.7382035090067183,0.2617964909932817,0.0
0,1,0,59,1,1,0,1,0,1,1,1,1,80.1,4693.2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,0,0,1,0,0,0,0,0,0,0,1,0,35.53345826332292,35.53345826332292,0.9669180020456268,0.0,0.0,0.0,0.0,0.0,0.9669180020456268,0.033081997954373166
0,0,0,2,1,0,0,0,0,0,0,0,0,79.76925136965087,159.31846471011104,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02264871083537079
0,0,0,3,1,0,0,0,0,0,0,0,0,44.75,148.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,0,52,1,1,1,0,1,1,1,0,0,74.0,3877.64990234375,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,0,0,1,1,0,0,0,0,0,0,0,0,75.54044505867734,75.54044505867734,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,49,1,1,0,0,0,0,1,1,1,103.16469079714395,5042.058702192619,1.0,1.0,0.0,0.1726795735724148,0.0,0.0,0.0,0.0
0,0,0,3,1,0,0,0,0,0,1,0,0,89.05038683393188,240.92673149636195,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,1,48,1,1,0,1,0,0,1,1,1,103.39455743491186,5032.815560182558,0.24092967090226647,1.0,0.0,0.7590703290977335,0.0,0.7590703290977335,0.0,0.0
0,1,1,44,1,0,0,0,0,0,0,0,0,19.600000381469727,780.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,0,0,54,1,0,0,0,1,1,0,1,0,65.25,3529.95,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,0,13,0,0,1,0,0,0,0,0,1,30.850000381469727,394.1000061035156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,3,1,0,0,0,0,0,0,0,1,52.05874478163322,168.69535048408366,1.0,0.0,0.0,0.0,0.0,0.4195040825957215,0.5804959174042785,0.0
0,1,1,63,1,0,0,0,0,0,0,0,0,20.0,1209.25,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0,0,1,4,1,1,0,0,1,1,0,0,1,87.0999984741211,341.45001220703125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,0,15,1,0,0,0,1,0,0,1,0,93.32234427227735,1573.793043345049,0.0,1.0,0.0,0.0,0.0,0.989718967397903,0.010281032602097007,0.0
0,1,0,1,1,0,0,0,0,0,0,0,1,69.15,69.15,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,7,1,0,0,0,0,0,1,0,0,87.82763122169774,666.3247916274441,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,11,1,1,0,0,0,0,0,0,1,79.1171708266894,927.2820975706585,0.00775748746047511,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,1,48,1,1,1,0,1,0,1,1,1,78.75,3682.449951171875,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,0,0,2,1,0,1,0,1,0,0,0,1,55.1,113.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,0,10,1,1,0,0,0,1,1,1,1,98.5,1058.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,1,1,0,0,0,0,1,0,0,1,75.9,75.9,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,1,0,0,0,0,0,0,0,0,0,24.799999237060547,24.799999237060547,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,28,1,0,1,1,0,1,0,0,1,59.9,1654.7,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,0,0,72,1,1,1,1,1,1,1,1,1,91.3499984741211,6697.2001953125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,1,12,1,0,0,0,0,0,0,0,0,21.05,235.8,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,0,0,3,1,0,0,0,0,0,1,0,0,79.25,267.6,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,50,1,0,0,0,0,0,0,0,0,19.75,989.05,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,1,1,68,1,1,0,0,0,0,0,0,0,25.39999961853028,1620.199951171875,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,1,1,61,1,0,0,0,0,0,0,0,0,19.75,1311.6,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0,1,1,71,1,0,1,0,1,0,1,1,0,77.55,5574.35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0,1,1,1,1,0,0,0,0,0,0,1,0,80.0,80.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,13,1,0,0,0,0,0,1,1,1,91.1,1135.7,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,26,1,1,0,0,0,0,0,0,1,51.54999923706055,1295.4000244140625,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,0,0,1,1,0,0,0,0,0,0,0,1,69.66620751325188,69.66620751325188,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,23,1,1,0,0,0,0,0,0,1,76.64719296547625,1715.6716422893087,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,1,67,1,1,0,0,1,1,0,1,1,69.9,4615.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,0,68,0,0,1,0,1,0,1,1,1,54.09999847412109,3794.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,66,1,0,1,1,0,0,0,0,1,54.79999923706055,3465.699951171875,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0,0,1,1,0,0,0,0,0,0,0,1,69.61622978050286,69.61622978050286,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,40,0,0,0,1,0,1,0,0,0,36.0,1382.9000244140625,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,0,0,2,1,0,0,0,0,0,0,0,0,69.75,144.5500030517578,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,17,1,1,0,0,0,0,0,1,1,90.4547397922156,1520.650013671708,1.0,1.0,0.0,0.0,0.0,0.0,0.6801126285002429,0.0
1,0,0,15,1,0,1,0,1,1,0,1,1,96.3,1426.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,1,70,1,0,0,0,0,0,0,0,1,19.2,1401.4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0,0,0,8,1,1,0,0,0,0,1,0,0,93.9530240777393,774.8872750473854,0.16475491950142174,1.0,0.0,0.0,0.0,0.0,0.16475491950142174,0.0
0,0,0,7,1,1,0,0,0,0,1,1,1,99.30318284310555,666.2042362530485,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,9,1,0,0,0,0,0,0,1,1,84.34750989368631,804.2008457485138,0.0,1.0,0.0,0.0,0.0,0.0,0.8603323642452937,0.0
1,1,0,3,1,0,0,0,0,1,1,0,1,83.9,267.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,0,4,1,0,0,0,0,0,0,0,1,65.64975599991229,270.1039448578803,0.0,0.5384364285459994,0.0,0.0,0.0,0.0,0.5384364285459994,0.4615635714540006
0,1,0,67,1,1,0,0,0,0,0,0,1,25.25,1733.1500244140625,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0,0,1,25,1,0,0,1,0,1,0,0,1,54.75,1266.35,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,1,1,56,1,0,0,1,1,1,0,0,1,85.85,4793.8,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0,0,1,1,0,0,0,0,0,0,1,1,55.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,0,67,1,1,1,1,0,0,0,0,0,83.85,5588.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,1,1,0,0,0,0,0,0,0,0,19.82298127592096,19.82298127592096,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0,0,3,1,0,0,0,0,0,0,0,1,77.17353916086508,217.4763982400579,0.0,1.0,0.0,0.0,0.0,0.8270479124129048,0.17295208758709524,0.0
0,0,0,51,1,1,1,1,1,0,1,1,0,107.4499969482422,5680.89990234375,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,0,36,1,0,0,0,0,0,0,0,0,19.549999237060547,620.75,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0,0,0,5,1,0,0,0,0,0,0,0,1,80.51576190612317,414.00761172559083,0.39673992778706135,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,0,35,0,0,1,0,1,0,1,1,0,53.15,1930.9,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,1,1,60,1,0,1,1,1,0,0,0,0,60.5,3694.45,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,19,1,1,0,0,0,0,1,0,1,88.81746466250274,1761.2951214469117,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,3,1,0,0,0,0,0,0,0,1,77.84479308776639,237.9332081395156,0.9321451335127399,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,1,33,1,0,0,0,0,0,0,0,0,19.8,641.35,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0,0,0,15,1,1,0,0,0,0,0,0,1,74.258887865651,1133.8002363966543,1.0,1.0,0.0,0.0,0.0,0.9672828791310638,0.0,0.03271712086893619
1,1,0,51,1,1,1,0,0,0,0,0,1,77.5,3807.35,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,12,1,0,0,0,0,0,0,1,0,79.84660577127869,949.455395066342,0.7432376303183883,1.0,0.0,0.0,0.0,0.0,0.7432376303183883,0.0
1,0,0,50,1,1,0,0,1,1,1,1,1,104.95,5222.35,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,4,1,0,0,0,0,0,0,0,1,73.15374687257601,303.01390741255386,1.0,0.566478994965706,0.0,0.0,0.0,0.0,0.433521005034294,0.0
0,0,0,1,1,0,0,0,0,0,0,0,0,73.12403523176526,73.12403523176526,0.0,1.0,0.0,0.0,0.0,0.0,0.7519295364694697,0.0
0,0,0,1,0,0,0,0,0,0,1,1,1,45.3,45.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,0,1,1,0,1,0,0,0,0,0,0,75.30000305175781,75.30000305175781,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,0,60,0,0,1,1,1,0,0,1,0,50.04999923706055,2911.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,0,0,3,1,0,0,0,1,0,1,1,1,104.44038012137594,293.7924466426167,0.9067300202293239,1.0,0.0,0.0,0.0,0.09326997977067608,0.9067300202293239,0.0
0,0,0,1,0,0,0,0,0,0,0,0,0,24.68270337380524,24.68270337380524,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,18,1,0,0,0,0,0,0,0,0,20.05,358.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1,0,9,1,0,0,0,0,0,0,1,0,85.78219989827888,851.8303768878658,0.9404615645438762,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,0,41,0,0,0,1,0,1,0,0,0,35.45,1391.65,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0,0,1,1,0,0,0,0,0,0,0,1,44.97816636034421,44.97816636034421,0.5211117194726975,0.0,0.0,0.0,0.0,0.0,0.0,0.5211117194726975
0,1,1,68,1,0,0,0,0,0,0,0,1,19.350000381469727,1292.6500244140625,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,1,1,71,1,0,1,1,1,1,1,1,0,109.3,7782.85,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0,0,0,14,1,1,0,0,0,0,0,1,1,101.25240742784105,1531.6004067699732,0.1908536518567432,1.0,0.0,0.0,0.0,0.0,0.8091463481432568,0.0
0,0,0,48,1,1,1,0,0,1,0,1,1,70.94999694824219,3629.199951171875,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,0,4,1,0,0,0,0,0,0,0,1,77.2999402295321,304.4250448278509,0.3695782109712832,1.0,0.0,0.0,0.0,0.0,0.6304217890287168,0.3695782109712832
0,0,0,31,1,0,0,1,0,0,1,1,1,94.5,2979.199951171875,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,5,1,0,0,0,0,0,0,0,1,83.83401199565347,406.3248289205335,0.0,1.0,0.0,0.0,0.0,0.0,0.8127904034772223,0.1872095965227777
0,0,0,15,1,0,0,0,0,0,0,0,1,19.8,309.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,0,0,34,1,1,0,1,0,1,1,0,1,101.46722738272315,3653.5542219218737,0.0,1.0,0.0,0.0,0.0,0.0,0.09720881199808074,0.0
0,1,1,18,1,1,0,0,0,0,0,0,0,83.77488898276826,1465.6115361278005,0.972850221137337,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,1,1,0,0,0,0,0,0,1,0,79.9000015258789,79.9000015258789,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,2,1,1,0,1,0,0,0,0,1,54.400001525878906,114.0999984741211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,0,61,1,0,1,1,0,1,0,1,0,93.7,5860.7,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,0,10,1,1,0,0,0,0,0,0,1,24.0,226.55,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,1,1,8,1,0,0,0,0,0,0,0,0,19.799999237060547,160.0500030517578,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0,0,0,10,0,0,0,0,0,0,0,0,0,33.49882276104518,325.2791945847896,0.0,0.0,0.0,0.0,0.0,0.0,0.7816039996555878,0.2183960003444122
0,0,0,48,1,0,1,0,1,1,1,1,1,102.5,4904.25,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0,0,0,7,1,1,0,0,0,0,0,0,1,82.29864724934602,609.9972980794633,0.0,1.0,0.0,0.0,0.0,0.0,0.6088842879427139,0.3911157120572861
0,1,0,57,1,0,1,1,0,1,0,0,1,59.75,3450.14990234375,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,0,0,4,1,0,0,0,1,0,0,0,1,80.80915102876493,345.91623335922185,0.0,1.0,0.0,0.0,0.0,0.5446623323482641,0.0,0.4553376676517359
0,1,0,72,1,1,1,1,1,1,1,1,0,115.15,8349.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0,0,0,7,1,0,0,0,0,0,1,0,1,79.7,586.05,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,0,70,1,1,0,0,0,0,0,0,0,93.83428954417077,6581.119879358621,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,5,1,0,0,0,1,0,1,1,0,96.5,492.5499877929688,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,33,1,1,0,1,0,1,1,0,1,107.74240513848325,3654.8785393201756,0.0,1.0,0.0,0.0,0.0,0.0,0.727880136663028,0.0
0,0,0,44,1,1,0,0,0,0,0,0,0,85.63013707800317,3812.244540140892,0.27937233216948043,1.0,0.0,0.0,0.0,0.0,0.7206276678305196,0.0
0,0,0,2,1,0,0,0,0,0,1,0,0,79.0,143.64999389648438,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,37,1,0,0,0,0,0,0,1,1,63.50850156774045,2350.0646469182416,0.5067340539834889,0.0,0.0,0.5067340539834889,0.0,0.0,0.4932659460165111,0.5067340539834889
0,0,0,43,1,0,0,0,0,0,0,0,0,19.55,876.15,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0,0,0,5,1,0,0,0,0,0,0,1,1,91.65775021921596,458.1591571906691,0.46348741307367813,1.0,0.0,0.0,0.0,0.0,0.0,0.5365125869263219
0,0,0,1,1,0,0,0,0,0,0,0,1,69.3863543770927,69.3863543770927,0.5324364349304371,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,52,1,0,1,1,0,0,1,0,1,63.25,3342.449951171875,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0,0,0,10,1,0,0,0,0,0,0,0,0,20.0,198.6999969482422,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,1,1,60,1,1,1,1,0,0,1,0,0,94.15,5811.8,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0,0,1,1,0,0,0,0,0,1,1,1,91.3000030517578,91.3000030517578,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,0,8,1,0,1,0,0,1,1,1,0,100.3000030517578,832.3499755859375,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,0,72,1,1,1,0,0,0,0,0,0,80.45,5737.6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,1,72,1,0,0,0,0,0,0,0,0,19.39999961853028,1363.25,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0,1,0,59,1,1,0,1,1,0,0,0,0,100.57493567533079,5904.074932388785,0.42592871889418726,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0,0,0,46,0,0,0,0,1,1,0,0,0,33.7,1537.85,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,1,1,48,1,1,0,0,0,0,1,1,1,96.43283476276244,4775.871208780528,0.2220893604383769,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,1,8,1,1,0,0,0,0,0,0,0,24.39999961853028,203.9499969482422,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
1,0,0,16,1,1,0,0,0,0,1,0,1,86.5999984741211,1281.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
